date,home_team,away_team,home_goals,away_goals
2025-12-06,Atlético Phi,CF Epsilon,1,0
2025-12-06,Real Sigma,Sporting Beta,4,0
2025-12-06,Deportivo Delta,Racing Gamma,0,0
2025-12-06,Unión Omega,CD Lambda,1,0
2025-12-13,Sporting Beta,Atlético Phi,1,1
2025-12-13,Racing Gamma,CF Epsilon,1,2
2025-12-13,CD Lambda,Real Sigma,0,2
2025-12-13,Unión Omega,Deportivo Delta,0,4
2025-12-20,Atlético Phi,Racing Gamma,6,1
2025-12-20,Sporting Beta,CD Lambda,0,1
2025-12-20,CF Epsilon,Unión Omega,0,0
2025-12-20,Real Sigma,Deportivo Delta,2,1
2025-12-27,CD Lambda,Atlético Phi,0,3
2025-12-27,Unión Omega,Racing Gamma,1,2
2025-12-27,Deportivo Delta,Sporting Beta,4,0
2025-12-27,Real Sigma,CF Epsilon,2,2
2026-01-03,Atlético Phi,Unión Omega,4,0
2026-01-03,CD Lambda,Deportivo Delta,1,2
2026-01-03,Racing Gamma,Real Sigma,0,2
2026-01-03,Sporting Beta,CF Epsilon,0,0
2026-01-10,Deportivo Delta,Atlético Phi,2,0
2026-01-10,Real Sigma,Unión Omega,5,2
2026-01-10,CF Epsilon,CD Lambda,0,1
2026-01-10,Sporting Beta,Racing Gamma,1,2
2026-01-17,Atlético Phi,Real Sigma,1,2
2026-01-17,Deportivo Delta,CF Epsilon,2,1
2026-01-17,Unión Omega,Sporting Beta,2,0
2026-01-17,CD Lambda,Racing Gamma,0,3
2026-01-24,CF Epsilon,Atlético Phi,0,2
2026-01-24,Sporting Beta,Real Sigma,1,2
2026-01-24,Racing Gamma,Deportivo Delta,1,2
2026-01-24,CD Lambda,Unión Omega,0,2
2026-01-31,Atlético Phi,Sporting Beta,4,0
2026-01-31,CF Epsilon,Racing Gamma,0,1
2026-01-31,Real Sigma,CD Lambda,1,0
2026-01-31,Deportivo Delta,Unión Omega,1,2
2026-02-07,Racing Gamma,Atlético Phi,0,1
2026-02-07,CD Lambda,Sporting Beta,0,2
2026-02-07,Unión Omega,CF Epsilon,3,0
2026-02-07,Deportivo Delta,Real Sigma,1,3
2026-02-14,Atlético Phi,CD Lambda,3,0
2026-02-14,Racing Gamma,Unión Omega,1,1
2026-02-14,Sporting Beta,Deportivo Delta,3,0
2026-02-14,CF Epsilon,Real Sigma,5,1
2026-02-21,Unión Omega,Atlético Phi,1,2
2026-02-21,Deportivo Delta,CD Lambda,2,4
2026-02-21,Real Sigma,Racing Gamma,4,0
2026-02-21,CF Epsilon,Sporting Beta,2,0
2026-02-28,Atlético Phi,Deportivo Delta,1,0
2026-02-28,Unión Omega,Real Sigma,2,0
2026-02-28,CD Lambda,CF Epsilon,2,1
2026-02-28,Racing Gamma,Sporting Beta,3,1
2026-03-07,Real Sigma,Atlético Phi,2,1
2026-03-07,CF Epsilon,Deportivo Delta,0,3
2026-03-07,Sporting Beta,Unión Omega,0,2
2026-03-07,Racing Gamma,CD Lambda,2,4
2026-03-14,Atlético Phi,CF Epsilon,0,1
2026-03-14,Real Sigma,Sporting Beta,3,0
2026-03-14,Deportivo Delta,Racing Gamma,2,1
2026-03-14,Unión Omega,CD Lambda,1,3
